Q407166	Somatostatin	Q24778427	Somatostatin
Q21124027	NLR family pyrin domain containing 6	Q24726930	P-loop containing nucleoside triphosphate hydrolase
Q21124027	NLR family pyrin domain containing 6	Q24776395	Death-like domain superfamily
Q21124027	NLR family pyrin domain containing 6	Q24781235	Leucine-rich repeat domain superfamily
Q21124028	NLR family pyrin domain containing 11	Q24776395	Death-like domain superfamily
Q21124028	NLR family pyrin domain containing 11	Q24781235	Leucine-rich repeat domain superfamily
Q21124031	NLR family pyrin domain containing 12	Q24726930	P-loop containing nucleoside triphosphate hydrolase
Q21124031	NLR family pyrin domain containing 12	Q24776395	Death-like domain superfamily
Q21124031	NLR family pyrin domain containing 12	Q24781235	Leucine-rich repeat domain superfamily
Q21131481	CDC28 protein kinase regulatory subunit 2	Q24783733	Cyclin-dependent kinase, regulatory subunit
Q21131481	CDC28 protein kinase regulatory subunit 2	Q41797954	Cyclin-dependent kinase, regulatory subunit superfamily
Q21131482	Cytoskeleton associated protein 4	Q24727383	Cytoskeleton-associated protein 4
Q21131483	Calcium/calmodulin dependent protein kinase II inhibitor 1	Q24786537	Calcium/calmodulin-dependent protein kinase II inhibitor
Q21131485	Calcium/calmodulin dependent protein kinase II inhibitor 2	Q24786537	Calcium/calmodulin-dependent protein kinase II inhibitor
Q21131489	CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion	Q5201170	cysteine loop ligand-gated ion channel receptor
Q21131489	CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion	Q24778877	Neurotransmitter-gated ion-channel
Q21131489	CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion	Q41797819	Neurotransmitter-gated ion-channel transmembrane domain superfamily
Q21131489	CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion	Q41797834	Neurotransmitter-gated ion-channel ligand-binding domain superfamily
Q21131491	CXXC repeat containing interactor of PDZ3 domain	Q24740974	PDZ-binding protein, CRIPT
Q21131497	Dishevelled binding antagonist of beta catenin 2	Q24777506	Dact2
Q21131498	Dishevelled binding antagonist of beta catenin 3	Q24785580	Dact3
Q21131500	Dopamine receptor D5	Q24770874	Dopamine D5 receptor
Q21131501	EPH receptor B6	Q24720368	Sterile alpha motif/pointed domain superfamily
Q21131501	EPH receptor B6	Q24722567	Growth factor receptor cysteine-rich domain superfamily
Q21132139	Heat shock transcription factor family, X-linked 2	Q41797502	Winged helix-like DNA-binding domain superfamily
Q21132139	Heat shock transcription factor family, X-linked 2	Q41797505	Winged helix DNA-binding domain superfamily
Q21132139	Heat shock transcription factor family, X-linked 2	Q41798123	Heat shock transcription factor, X-linked
Q21132140	Aurora kinase C	Q24726164	Protein kinase-like domain superfamily
Q21132140	Aurora kinase C	Q24769314	Aurora kinase C
Q21132142	Inversin	Q41797869	Ankyrin repeat-containing domain superfamily
Q21132144	ZW10 interacting kinetochore protein	Q24770836	ZW10 interactor
Q21132145	Peptidylprolyl isomerase G	Q3774751	Cyclophilin
Q21132145	Peptidylprolyl isomerase G	Q24771005	Cyclophilin-like domain superfamily
Q21132149	BTB domain containing 7	Q24783694	SKP1/BTB/POZ domain superfamily
Q21132151	Cell adhesion molecule 4	Q24780060	Cell adhesion molecule 4
Q21132151	Cell adhesion molecule 4	Q24787648	Immunoglobulin-like fold
Q21132151	Cell adhesion molecule 4	Q41797304	Immunoglobulin-like domain superfamily
Q21132154	Azurocidin 1	Q24772777	Peptidase S1A, chymotrypsin family
Q21132154	Azurocidin 1	Q24783967	Peptidase S1, PA clan
Q21132155	Protein phosphatase 3 catalytic subunit alpha	Q24721058	Metallo-dependent phosphatase-like
Q21132160	Nucleolar protein 3	Q24776395	Death-like domain superfamily
Q21132161	Cas scaffold protein family member 4	Q32855706	Cas scaffolding protein family member 4
Q21132161	Cas scaffold protein family member 4	Q41797170	SH3-like domain superfamily
Q21132161	Cas scaffold protein family member 4	Q54461064	CAS, serine rich four helix bundle domain superfamily
Q21132163	Coiled-coil domain containing 58	Q24778755	Caffeine-induced death protein 2
Q21132166	Periphilin 1	Q24785305	Periphilin-1
Q21132168	COMM domain containing 5	Q43921329	COMM domain-containing protein 5
Q21132169	COMM domain containing 4	Q43921328	COMM domain-containing protein 4
Q21132170	Transmembrane protein 100	Q24775631	Transmembrane protein 100
Q21132171	Coiled-coil domain containing 39	Q24773633	Coiled-coil domain-containing protein 39
Q21132174	CD109 molecule	Q24778163	Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid
Q21132174	CD109 molecule	Q24780081	Immunoglobulin E-set
Q21132174	CD109 molecule	Q24787648	Immunoglobulin-like fold
Q21132174	CD109 molecule	Q41797697	Alpha-macroglobulin, receptor-binding domain superfamily
Q21132176	Chromosome 4 open reading frame 36	Q24781725	Protein of unknown function DUF4522
Q21132177	CD180 molecule	Q24781235	Leucine-rich repeat domain superfamily
Q21132178	Cilia and flagella associated protein 61	Q41797313	FAD/NAD(P)-binding domain superfamily
Q21132178	Cilia and flagella associated protein 61	Q54461931	Cilia- and flagella-associated protein 61
Q21126851	POU domain class 5, transcription factor 2	Q24720326	POU domain-containing protein, class 5
Q21126851	POU domain class 5, transcription factor 2	Q24769639	Homeobox-like domain superfamily
Q21126851	POU domain class 5, transcription factor 2	Q24787704	Lambda repressor-like, DNA-binding domain superfamily
Q21126852	RNA polymerase III subunit F	Q24777200	RNA polymerase Rpc34
Q21126852	RNA polymerase III subunit F	Q41797502	Winged helix-like DNA-binding domain superfamily
Q21126852	RNA polymerase III subunit F	Q41797505	Winged helix DNA-binding domain superfamily
Q21126853	Protein phosphatase 2C like domain containing 1	Q24776163	Protein phosphatase 2C family
Q21126853	Protein phosphatase 2C like domain containing 1	Q41797563	PPM-type phosphatase domain superfamily
Q21126857	Proteasome 20S subunit alpha 2	Q24775249	Nucleophile aminohydrolases, N-terminal
Q21126857	Proteasome 20S subunit alpha 2	Q29564785	Proteasome subunit alpha2
Q21126858	Tripartite motif containing 10	Q24722342	Concanavalin A-like lectin/glucanase domain superfamily
Q21126858	Tripartite motif containing 10	Q24786519	Zinc finger, RING/FYVE/PHD-type
Q21126866	Peptidyl-tRNA hydrolase domain containing 1	Q24740924	Peptidyl-tRNA hydrolase II domain superfamily
Q21126866	Peptidyl-tRNA hydrolase domain containing 1	Q24770881	Peptidyl-tRNA hydrolase, PTH2
Q21127127	Mitochondrial ribosomal protein S27	Q24724527	Tetratricopeptide-like helical domain superfamily
Q21127127	Mitochondrial ribosomal protein S27	Q24726005	28S ribosomal protein S27, mitochondrial
Q21127128	Mitochondrial ribosomal protein S31	Q24780617	Mitochondrial 28S ribosomal protein S31
Q21127129	Mitochondrial ribosomal protein S26	Q24738423	28S ribosomal protein S26
Q21127132	Secretion associated Ras related GTPase 1A	Q24726930	P-loop containing nucleoside triphosphate hydrolase
Q21127132	Secretion associated Ras related GTPase 1A	Q24739330	Small GTPase superfamily, SAR1-type
Q21127134	Sarcosine dehydrogenase	Q24770690	Glycine cleavage T-protein/YgfZ, C-terminal
Q21127134	Sarcosine dehydrogenase	Q41797313	FAD/NAD(P)-binding domain superfamily
Q21127134	Sarcosine dehydrogenase	Q54456704	GTP-binding protein TrmE/Glycine cleavage system T protein, domain 1
Q21127150	Secernin 3	Q24785917	Peptidase C69, dipeptidase A
Q21127154	Secernin 2	Q24785917	Peptidase C69, dipeptidase A
Q21127155	Scratch family transcriptional repressor 1	Q41796779	Transcriptional repressor SCRATCH 1/2
Q21127155	Scratch family transcriptional repressor 1	Q41797357	Zinc finger C2H2 superfamily
Q21127156	Scratch family transcriptional repressor 2	Q41796779	Transcriptional repressor SCRATCH 1/2
Q21127156	Scratch family transcriptional repressor 2	Q41797357	Zinc finger C2H2 superfamily
Q21127158	Sulfotransferase family 1B member 1	Q24726930	P-loop containing nucleoside triphosphate hydrolase
Q21127158	Sulfotransferase family 1B member 1	Q24786323	Sulfotransferase family cytosolic 1B member 1
Q21127161	Transition protein 1	Q24740527	Nuclear transition protein 1
Q21127167	Ubiquitin conjugating enzyme E2 A	Q24724265	Ubiquitin-conjugating enzyme/RWD-like
Q21127171	Triokinase and FMN cyclase	Q24721258	Dihydroxyacetone kinase
Q21127171	Triokinase and FMN cyclase	Q41797246	DhaL domain superfamily
Q21127175	SDA1 domain containing 1	Q24771658	Sda1
Q21127175	SDA1 domain containing 1	Q24780424	Armadillo-type fold
Q21127176	TRNA-histidine guanylyltransferase 1 like	Q24721322	tRNAHis guanylyltransferase Thg1
Q21127176	TRNA-histidine guanylyltransferase 1 like	Q54461300	tRNAHis guanylyltransferase Thg1 superfamily
Q21127178	Serine hydrolase like 2	Q24744945	Alpha/Beta hydrolase fold
Q21127181	Serum/glucocorticoid regulated kinase 2	Q24726164	Protein kinase-like domain superfamily
Q21127182	Smoothelin like 1	Q41797968	CH domain superfamily
Q21127191	Snail family transcriptional repressor 2	Q41797357	Zinc finger C2H2 superfamily
Q21127192	Spectrin beta, erythrocytic	Q24768109	Spectrin, beta subunit
Q21127192	Spectrin beta, erythrocytic	Q41797968	CH domain superfamily
Q21127194	Smoothelin like 2	Q41797968	CH domain superfamily
Q21127195	Snail family transcriptional repressor 3	Q41797357	Zinc finger C2H2 superfamily
Q21127198	SET and MYND domain containing 4	Q24724527	Tetratricopeptide-like helical domain superfamily
Q21127199	Sushi, nidogen and EGF like domains 1	Q24787648	Immunoglobulin-like fold
Q21127199	Sushi, nidogen and EGF like domains 1	Q41797125	Sushi/SCR/CCP superfamily
Q21127199	Sushi, nidogen and EGF like domains 1	Q41797245	Fibronectin type III superfamily
Q21127232	SET and MYND domain containing 3	Q24724527	Tetratricopeptide-like helical domain superfamily
Q21127232	SET and MYND domain containing 3	Q24739167	Histone-lysine N-methyltransferase Smyd3
Q21127233	SET and MYND domain containing 2	Q24724527	Tetratricopeptide-like helical domain superfamily
Q21127239	Small nuclear RNA activating complex polypeptide 2	Q24784455	Small nuclear RNA activating complex subunit 2-like
Q21127240	Small nuclear RNA activating complex polypeptide 1	Q24771925	Small nuclear RNA activating complex (SNAPc), subunit SNAP43
Q21127242	Small nuclear RNA activating complex polypeptide 4	Q24769639	Homeobox-like domain superfamily
Q21127242	Small nuclear RNA activating complex polypeptide 4	Q28544104	snRNA-activating protein complex subunit 4
Q21127243	Small nuclear ribonucleoprotein U11/U12 subunit 48	Q24720574	U11/U12 small nuclear ribonucleoprotein 48kDa protein
Q21127243	Small nuclear ribonucleoprotein U11/U12 subunit 48	Q41797357	Zinc finger C2H2 superfamily
Q21127245	SNF related kinase	Q24726164	Protein kinase-like domain superfamily
Q21127246	Syntrophin gamma 1	Q24745113	Gamma 1 syntrophin
Q21127246	Syntrophin gamma 1	Q41797172	PDZ superfamily
Q21127264	SRY-box transcription factor 9	Q24776309	Transcription factor SOX-9
Q21127264	SRY-box transcription factor 9	Q41798006	High mobility group box domain superfamily
Q21127266	SRY-box transcription factor 8	Q24741707	Transcription factor SOX-8
Q21137096	Tripartite motif-containing 17, isoform CRA_a	Q24722342	Concanavalin A-like lectin/glucanase domain superfamily
Q21137096	Tripartite motif-containing 17, isoform CRA_a	Q24773337	E3 ubiquitin-protein ligase TRIM17
Q21137096	Tripartite motif-containing 17, isoform CRA_a	Q24786519	Zinc finger, RING/FYVE/PHD-type
Q21137098	Phosphofurin acidic cluster sorting protein 1, isoform CRA_a	Q24726828	Phosphofurin acidic cluster sorting protein 1
Q21137099	Leucine rich repeat containing 32, isoform CRA_a	Q24781235	Leucine-rich repeat domain superfamily
Q21137101	Glutathione peroxidase	Q24773045	Glutathione peroxidase
Q21137101	Glutathione peroxidase	Q41797370	Thioredoxin-like superfamily
Q21137102	Serine palmitoyltransferase, long chain base subunit 2, isoform CRA_a	Q24768592	Pyridoxal phosphate-dependent transferase, major domain
Q21137102	Serine palmitoyltransferase, long chain base subunit 2, isoform CRA_a	Q24781248	Pyridoxal phosphate-dependent transferase
Q21137102	Serine palmitoyltransferase, long chain base subunit 2, isoform CRA_a	Q24781489	Pyridoxal phosphate-dependent transferase domain 1
Q21137105	Lipid phosphate phosphatase-related protein type 2, isoform CRA_a	Q24721229	Lipid phosphate phosphatase-related protein type 2
Q21137105	Lipid phosphate phosphatase-related protein type 2, isoform CRA_a	Q41798031	Phosphatidic acid phosphatase type 2/haloperoxidase superfamily
Q21137106	H.sapiens ras-related Hrab3A protein	Q24726930	P-loop containing nucleoside triphosphate hydrolase
Q21137106	H.sapiens ras-related Hrab3A protein	Q54460429	Rab3
Q21137107	WD repeat domain, phosphoinositide interacting 2, isoform CRA_c	Q24774254	WD repeat domain phosphoinositide-interacting protein 2
Q21137107	WD repeat domain, phosphoinositide interacting 2, isoform CRA_c	Q24784804	WD40/YVTN repeat-like-containing domain superfamily
Q21137107	WD repeat domain, phosphoinositide interacting 2, isoform CRA_c	Q41797440	WD40-repeat-containing domain superfamily
Q21137110	Neuroligin 4, Y-linked, isoform CRA_d	Q24741341	Neuroligin 4
Q21137110	Neuroligin 4, Y-linked, isoform CRA_d	Q24744945	Alpha/Beta hydrolase fold
Q21137111	Creatine kinase, mitochondrial 2 (Sarcomeric), isoform CRA_a	Q24721138	ATP:guanido phosphotransferase
Q21137111	Creatine kinase, mitochondrial 2 (Sarcomeric), isoform CRA_a	Q24723735	Glutamine synthetase/guanido kinase, catalytic domain
Q21137111	Creatine kinase, mitochondrial 2 (Sarcomeric), isoform CRA_a	Q41797898	ATP:guanido phosphotransferase, N-terminal domain superfamily
Q21137112	Pentatricopeptide repeat domain 2, isoform CRA_a	Q24724527	Tetratricopeptide-like helical domain superfamily
Q21137112	Pentatricopeptide repeat domain 2, isoform CRA_a	Q29564768	Pentatricopeptide repeat-containing protein 2, mitochondrial
Q21137113	Polymerase (DNA directed) kappa, isoform CRA_b	Q24725970	DNA polymerase IV
Q21137113	Polymerase (DNA directed) kappa, isoform CRA_b	Q41797874	DNA polymerase, Y-family, little finger domain superfamily
Q21137114	Activating transcription factor 7 interacting protein, isoform CRA_a	Q24770134	Activating transcription factor 7-interacting protein
Q21137114	Activating transcription factor 7 interacting protein, isoform CRA_a	Q24787648	Immunoglobulin-like fold
Q21137114	Activating transcription factor 7 interacting protein, isoform CRA_a	Q41797245	Fibronectin type III superfamily
Q21137116	N-acetylglucosamine-6-sulfatase	Q24721321	N-acetylglucosamine-6-sulfatase, metazoan
Q21137116	N-acetylglucosamine-6-sulfatase	Q24782984	Alkaline phosphatase-like, alpha/beta/alpha
Q21137116	N-acetylglucosamine-6-sulfatase	Q24787617	Alkaline-phosphatase-like, core domain superfamily
Q21137117	Intraflagellar transport 81 homolog (Chlamydomonas), isoform CRA_c	Q24723335	Intraflagellar transport protein 81
Q21137119	Ribosomal protein L7-like 1, isoform CRA_b	Q24723272	Ribosomal protein L30, central domain, archaeal type
Q21137119	Ribosomal protein L7-like 1, isoform CRA_b	Q24786930	Ribosomal protein L7, eukaryotic
Q21137119	Ribosomal protein L7-like 1, isoform CRA_b	Q41798015	Ribosomal protein L30, ferredoxin-like fold domain superfamily
Q21137121	Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (P105), isoform CRA_b	Q24720606	Nuclear factor NF-kappa-B, p105 subunit
Q21137121	Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (P105), isoform CRA_b	Q24769358	p53-like transcription factor, DNA-binding
Q21137121	Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (P105), isoform CRA_b	Q24776395	Death-like domain superfamily
Q21137121	Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (P105), isoform CRA_b	Q24780081	Immunoglobulin E-set
Q21137121	Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (P105), isoform CRA_b	Q24787648	Immunoglobulin-like fold
Q21137121	Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (P105), isoform CRA_b	Q41797869	Ankyrin repeat-containing domain superfamily
Q21137121	Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (P105), isoform CRA_b	Q41798150	Rel homology domain (RHD), DNA-binding domain superfamily
Q21137125	NADH dehydrogenase (Ubiquinone) 1 beta subcomplex, 5, 16kDa, isoform CRA_g	Q24786945	NADH:ubiquinone oxidoreductase, NDUFB5/SGDH subunit
Q21137126	Zinc and ring finger 2, isoform CRA_b	Q24786519	Zinc finger, RING/FYVE/PHD-type
Q21137128	Beta crystallin A4 chain	Q24723425	Gamma-crystallin-like
Q21137128	Beta crystallin A4 chain	Q24726472	Beta-crystallin A4
Q21137129	Deafness, autosomal recessive 31, isoform CRA_a	Q24776881	Whirlin
Q21137129	Deafness, autosomal recessive 31, isoform CRA_a	Q41797172	PDZ superfamily
Q21137130	Protein IGHV1-45	Q24787648	Immunoglobulin-like fold
Q21137130	Protein IGHV1-45	Q41797304	Immunoglobulin-like domain superfamily
Q21137133	Protein IGHV3-20	Q24787648	Immunoglobulin-like fold
Q21137133	Protein IGHV3-20	Q41797304	Immunoglobulin-like domain superfamily
Q21137137	Solute carrier family 30, member 10, isoform CRA_a	Q24786263	Cation efflux protein
Q21137137	Solute carrier family 30, member 10, isoform CRA_a	Q41796747	Cation efflux transmembrane domain superfamily
Q21137137	Solute carrier family 30, member 10, isoform CRA_a	Q41797933	Cation efflux protein, cytoplasmic domain superfamily
Q21137139	Protein phosphatase 1, regulatory (Inhibitor) subunit 1B (Dopamine and cAMP regulated phosphoprotein, DARPP-32), isoform CRA_b	Q24787386	Protein phosphatase 1 regulatory subunit 1B
Q21137141	Neuronal cell adhesion molecule	Q24787648	Immunoglobulin-like fold
Q21137141	Neuronal cell adhesion molecule	Q41797245	Fibronectin type III superfamily
Q21137141	Neuronal cell adhesion molecule	Q41797304	Immunoglobulin-like domain superfamily
Q21137142	Leukocyte-associated immunoglobulin-like receptor 2	Q24787648	Immunoglobulin-like fold
Q21137142	Leukocyte-associated immunoglobulin-like receptor 2	Q41797304	Immunoglobulin-like domain superfamily
Q21137143	Sialidase-4	Q24768928	Sialidase-4
Q21137143	Sialidase-4	Q41797399	Sialidase superfamily
Q21137148	HCG42405, isoform CRA_a	Q41797188	KRAB domain superfamily
Q21137148	HCG42405, isoform CRA_a	Q41797357	Zinc finger C2H2 superfamily
Q21137149	AP-2 complex subunit alpha-2	Q24739502	Armadillo-like helical
Q21137149	AP-2 complex subunit alpha-2	Q24780424	Armadillo-type fold
Q21137150	ARP2 actin-related protein 2 homolog (Yeast), isoform CRA_d	Q24772860	Actin-related protein 2
Q21137153	ERO1-like protein alpha	Q24739670	Endoplasmic reticulum oxidoreductin 1
Q21137153	ERO1-like protein alpha	Q41798273	ERO1-like superfamily
Q21137154	Catenin (Cadherin-associated protein), alpha 1, 102kDa, isoform CRA_a	Q24768456	Alpha E-catenin
Q21137154	Catenin (Cadherin-associated protein), alpha 1, 102kDa, isoform CRA_a	Q41797823	Alpha-catenin/vinculin-like superfamily
Q21137155	HCG30384, isoform CRA_b	Q24774250	Nucleotide-diphospho-sugar transferases
Q21137156	Rho GTPase activating protein 9, isoform CRA_a	Q24742062	Rho GTPase activation protein
Q21137156	Rho GTPase activating protein 9, isoform CRA_a	Q24786013	PH-like domain superfamily
Q21137156	Rho GTPase activating protein 9, isoform CRA_a	Q41797163	WW domain superfamily
Q21137156	Rho GTPase activating protein 9, isoform CRA_a	Q41797170	SH3-like domain superfamily
Q21137157	HCG2020143, isoform CRA_b	Q24780600	Seipin family
Q21137160	Mitochondrial 5-methylaminomethyl-2-thiouridylate-methyltransferase transcript variant 1	Q907446	Rossmann fold
Q21137160	Mitochondrial 5-methylaminomethyl-2-thiouridylate-methyltransferase transcript variant 1	Q24768245	tRNA-specific 2-thiouridylase
Q21137162	Epididymis secretory sperm binding protein Li 84p	Q24775172	Ribonuclease 11
Q21137162	Epididymis secretory sperm binding protein Li 84p	Q41797912	Ribonuclease A-like domain superfamily
Q21137164	Sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)	Q24769935	Beta-sarcoglycan
Q21137166	SOCS3 protein	Q24769631	Suppressor of cytokine signalling 3
Q21137166	SOCS3 protein	Q41797174	SOCS box-like domain superfamily
Q21137166	SOCS3 protein	Q41797956	SH2 domain superfamily
Q21137168	SALL4C	Q41797357	Zinc finger C2H2 superfamily
Q21137169	KRAB zinc finger protein	Q41797188	KRAB domain superfamily
Q21137170	Putative uncharacterized protein STX1A	Q24723845	SNARE subfamily
Q21137170	Putative uncharacterized protein STX1A	Q24775353	Syntaxin 1A
Q21137172	SP2 protein	Q24775935	Transcription factor Sp2
Q21137173	Chromosome 18 open reading frame 21, isoform CRA_a	Q24768820	Protein of unknown function DUF4674
Q21137176	Parvalbumin, isoform CRA_a	Q24742069	EF-hand domain pair
Q21137176	Parvalbumin, isoform CRA_a	Q24768579	Parvalbumin
Q21137177	Chromobox homolog 7, isoform CRA_b	Q24776160	Chromo-like domain superfamily
Q21137178	Cerebellin 2, isoform CRA_a	Q24783304	Tumour necrosis factor-like domain superfamily
Q21137179	Ataxia telangiectasia mutated (Includes complementation groups A, C and D), isoform CRA_a	Q24726164	Protein kinase-like domain superfamily
Q21137179	Ataxia telangiectasia mutated (Includes complementation groups A, C and D), isoform CRA_a	Q24773792	Serine/threonine-protein kinase ATM
Q21137179	Ataxia telangiectasia mutated (Includes complementation groups A, C and D), isoform CRA_a	Q24780424	Armadillo-type fold
Q21127266	SRY-box transcription factor 8	Q41798006	High mobility group box domain superfamily
Q21127270	SRY-box transcription factor 4	Q29956299	Transcription factor SOX-11/4
Q21127270	SRY-box transcription factor 4	Q41798006	High mobility group box domain superfamily
Q21127271	SRY-box transcription factor 21	Q24773867	Transcription factor SOX
Q21127271	SRY-box transcription factor 21	Q41798006	High mobility group box domain superfamily
Q21127272	Spermatogenesis associated serine rich 1	Q24727088	Spermatogenesis-associated serine-rich protein 1
Q21127274	Spermatogenesis associated serine rich 2	Q24722600	UBA-like superfamily
Q21127274	Spermatogenesis associated serine rich 2	Q24783075	Protein of unknown function DUF1387
Q21127276	Signal recognition particle 54	Q24726930	P-loop containing nucleoside triphosphate hydrolase
Q21127276	Signal recognition particle 54	Q24773057	Signal recognition particle, SRP54 subunit, eukaryotic
Q21127276	Signal recognition particle 54	Q41797348	SRP/SRP receptor, N-terminal
Q21127276	Signal recognition particle 54	Q41797987	Signal recognition particle, SRP54 subunit, M-domain superfamily
Q21127276	Signal recognition particle 54	Q59252305	Protein transport protein SEC31-like
Q21127281	Stathmin domain containing 1	Q24719955	Stathmin family
Q21127281	Stathmin domain containing 1	Q41797148	Stathmin superfamily
Q21127282	Serine/threonine kinase 40	Q24726164	Protein kinase-like domain superfamily
Q21127282	Serine/threonine kinase 40	Q24784141	Serine/threonine-protein kinase 40
Q21127283	Serine/threonine kinase like domain containing 1	Q24726164	Protein kinase-like domain superfamily
Q21127283	Serine/threonine kinase like domain containing 1	Q24780424	Armadillo-type fold
Q21127285	Serine/threonine kinase 35	Q24726164	Protein kinase-like domain superfamily
Q21127287	Serine/threonine kinase 31	Q24726164	Protein kinase-like domain superfamily
Q21127287	Serine/threonine kinase 31	Q32855633	SNase-like, OB-fold superfamily
Q21127288	Serine/threonine kinase 33	Q24726164	Protein kinase-like domain superfamily
Q21127289	Stathmin 3	Q24786862	Stathmin-3
Q21127289	Stathmin 3	Q41797148	Stathmin superfamily
Q21133140	Ribosomal protein S3A	Q24784691	40S ribosomal protein S1/3, eukaryotes
Q21133143	Mitogen-activated protein kinase kinase kinase 9	Q24726164	Protein kinase-like domain superfamily
Q21133143	Mitogen-activated protein kinase kinase kinase 9	Q24740996	Mitogen-activated protein (MAP) kinase kinase kinase, MLK1-4
Q21133143	Mitogen-activated protein kinase kinase kinase 9	Q41797170	SH3-like domain superfamily
Q21133150	MAPK activated protein kinase 5	Q24726164	Protein kinase-like domain superfamily
Q21133159	Small nuclear ribonucleoprotein D1 polypeptide	Q24741037	Like-Sm (LSM) domain containing protein, LSm4/SmD1/SmD3
Q21133159	Small nuclear ribonucleoprotein D1 polypeptide	Q24768833	LSM domain superfamily
Q21133160	Integrator complex subunit 3	Q24723931	Integrator complex subunit 3
Q21133161	Integrator complex subunit 8	Q24724527	Tetratricopeptide-like helical domain superfamily
Q21133161	Integrator complex subunit 8	Q54461731	Integrator complex subunit 8
Q21133162	Integrator complex subunit 9	Q24738816	Integrator complex subunit 9
Q21133162	Integrator complex subunit 9	Q41797962	Ribonuclease Z/Hydroxyacylglutathione hydrolase-like
Q21133164	Integrator complex subunit 7	Q24772963	Integrator complex subunit 7
Q21133164	Integrator complex subunit 7	Q24780424	Armadillo-type fold
Q21133165	Integrator complex subunit 6	Q41797571	von Willebrand factor A-like domain superfamily
Q21133175	Zinc finger protein 844	Q41797188	KRAB domain superfamily
Q21133175	Zinc finger protein 844	Q41797357	Zinc finger C2H2 superfamily
Q21133176	Keratin 78	Q24773036	Keratin, type II
Q21133177	Paraspeckle component 1	Q41797127	RNA-binding domain superfamily
Q21133177	Paraspeckle component 1	Q54450559	Nucleotide-binding alpha-beta plait domain superfamily
Q21133181	Kielin cysteine rich BMP regulator	Q41797218	Serine protease inhibitor-like superfamily
Q21133183	Calcium/calmodulin dependent protein kinase kinase 2	Q24726164	Protein kinase-like domain superfamily
Q21133184	Kruppel like factor 2	Q41797357	Zinc finger C2H2 superfamily
Q21133186	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase	Q24779423	HAD hydrolase, LHPP/HDHD2
Q21133186	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase	Q24783022	HAD superfamily
Q21133186	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase	Q41797525	HAD-like superfamily
Q21133188	Leukemia NUP98 fusion partner 1	Q24783615	Leukemia NUP98 fusion partner 1
Q21133194	Myocyte enhancer factor 2B	Q41797975	Transcription factor, MADS-box superfamily
Q21133196	Mitochondrial genome maintenance exonuclease 1	Q24723237	Restriction endonuclease  type II-like
Q21133196	Mitochondrial genome maintenance exonuclease 1	Q24776641	Mitochondrial genome maintenance exonuclease 1
Q21133198	MIER family member 3	Q24719604	Mesoderm induction early response protein 3
Q21133198	MIER family member 3	Q24769639	Homeobox-like domain superfamily
Q21133207	Microseminoprotein beta	Q24777570	Beta-microseminoprotein
Q21133209	Myosin light chain kinase 3	Q24726164	Protein kinase-like domain superfamily
Q21133211	Zinc finger protein 260	Q41796594	C2H2-type Zinc finger protein,  YY-1-like
Q21133211	Zinc finger protein 260	Q41797357	Zinc finger C2H2 superfamily
Q21133213	Neuronatin	Q24772997	Neuronatin
Q21133216	Nucleoporin 43	Q41797440	WD40-repeat-containing domain superfamily
Q21133216	Nucleoporin 43	Q54460111	Nucleoporin Nup43
Q21133216	Nucleoporin 43	Q69529092	animal nuclear pore complex
Q21133217	Nucleoporin 37	Q24784804	WD40/YVTN repeat-like-containing domain superfamily
Q21133217	Nucleoporin 37	Q41797440	WD40-repeat-containing domain superfamily
Q21133217	Nucleoporin 37	Q54460109	Nucleoporin Nup37
Q21133217	Nucleoporin 37	Q69529092	animal nuclear pore complex
Q21133219	Proline rich 23 domain containing 2	Q24727288	Proline-rich protein 23
Q21133222	Mitochondrial fission regulator 2	Q24782446	Mitochondrial fission regulator 1
Q21133227	Guanylate cyclase activator 2B	Q24782982	Guanylin
Q21133227	Guanylate cyclase activator 2B	Q41797496	Guanylin superfamily
Q21133228	H1.4 linker histone, cluster member	Q24770676	Histone H5
Q21133228	H1.4 linker histone, cluster member	Q41797502	Winged helix-like DNA-binding domain superfamily
Q21133228	H1.4 linker histone, cluster member	Q41797505	Winged helix DNA-binding domain superfamily
Q21133231	HMG-box containing 4	Q41798006	High mobility group box domain superfamily
Q21133232	Heterogeneous nuclear ribonucleoprotein C like 2	Q24777488	Heterogeneous nuclear ribonucleoprotein C
Q21133232	Heterogeneous nuclear ribonucleoprotein C like 2	Q41797127	RNA-binding domain superfamily
